id,imieNazwisko,klub,dataUr,wiek,miejsceUr,plec,ukonczonaSzkola,wyksztalcenie,najwyzszyStopienNaukowy,liczbaStudiowPodyplomowych,zawod,nrOkreguWyborczego,okregWyborczy,wojewodztwoOkreguWyborczego,liczbaGlosow,stazParlamentarny,ktoraKadencja,czyAktywny,powodNieaktywnosci,nieaktywnoscKomentarz,nieaktywnoscKategoria
60,Anita Czerwińska,PiS,1970-01-13,55,Warszawa,K,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (1999)",wyższe,magister,0,prawnik,20,Warszawa,mazowieckie,18443,poseł na Sejm RP VIII i IX kadencji,3,True,,,
61,Katarzyna Czochara,PiS,1969-11-03,56,Biała,K,"Uniwersytet Wrocławski, Wydział Filologii Germańskiej, Filologia Germańska - magister (2008)",wyższe,magister,0,nauczyciel,21,Opole,opolskie,20004,poseł na Sejm RP VIII i IX kadencji,3,True,,,
62,Sławomir Ćwik,Polska2050,1972-01-21,53,Zamość,M,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Prawa i Administracji, Prawo - magister (1996) Szkoła Główna Handlowa w Warszawie, Podatki (1998) - studia podyplomowe",wyższe,magister,1,"menedżer, prawnik, przedsiębiorca prywatny",7,Chełm,lubelskie,8004,brak,1,True,,,
63,Władysław Dajczak,PiS,1959-07-10,66,Międzyrzec,M,"Wyższa Szkoła Inżynierska w Zielonej Górze, Instytut Budowy Maszyn, Mechanika-Maszyny i Urządzenia Przemysłu Spożywczego - magister inżynier (1983) Uniwersytet Wrocławski, Prawo i Administracja (1997) - studia podyplomowe",wyższe,magister inżynier,1,inżynier mechanik,8,Zielona Góra,lubuskie,29131,"poseł na Sejm RP IX kadencji, senator VII kadencji",2,True,,,
64,Anna Dąbrowska-Banaszek,PiS,1961-04-14,64,Chełm,K,"Akademia Medyczna w Lublinie, Wydział Lekarski, Lekarz medycyny - lekarz (1986) Wyższa Szkoła Zawodowa Kosmetyki i Pielęgnacji Zdrowia w Warszawie, Kosmetologia w Medycynie (2010) - studia podyplomowe",wyższe,lekarz,1,lekarz,7,Chełm,lubelskie,13910,poseł na Sejm RP IX kadencji,2,True,,,
65,Zbigniew Dolata,PiS,1965-12-01,60,Koźmin,M,"Wyższa Szkoła Pedagogiczna w Opolu, Wydział Filologiczno-Historyczny, Historia - magister (1989) Uniwersytet im. Adama Mickiewicza w Poznaniu, Politologia (2000) - studia podyplomowe",wyższe,magister,1,nauczyciel,37,Konin,wielkopolskie,25663,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
66,Barbara Dolniak,KO,1960-09-12,65,Bytom,K,"Uniwersytet Śląski, Wydział Prawa i Administracji, Prawo - magister (1983) Sąd Wojewódzki w Katowicach, Aplikacja Sądowa (1987) Uniwersytet Śląski, Prawo Unii Europejskiej (2007) - studia podyplomowe Olsztyńska Wyższa Szkoła Informatyki i Zarządzania im. Prof. Kotarbińskiego w Olsztynie, Public Relations (2011) - studia podyplomowe Krajowa Szkoła Sądownictwa i Prokuratury we współpracy z Instytutem Polskiej Akademii Nauk, Prawo Cywilne (2013) - studia podyplomowe",wyższe,magister,3,prawnik,32,Katowice,śląskie,37470,poseł na Sejm RP VIII i IX kadencji,3,True,,,
67,Andrzej Domański,KO,1981-08-27,44,Kraków,M,"Akademia Ekonomiczna, Wydział Ekonomii, Ekonomia - magister (2005)",wyższe,magister,0,"doradca ds. ekonomicznych, ekonomista",19,Warszawa,mazowieckie,6848,brak,1,True,,,
68,Bartłomiej Dorywalski,PiS,1979-08-16,46,Włoszczowa,M,"Katolicki Uniwersytet Lubelski, Wydział Prawa, Prawa Kanonicznego i Administracji, Prawo - magister (2003) Katolicki Uniwersytet Lubelski Jana Pawła II, Nauki Prawne - doktor (2015)",wyższe,doktor,0,radca prawny,33,Kielce,świętokrzyskie,9696,poseł na Sejm RP VI i IX kadencji,3,True,,,
69,Robert Dowhan,KO,1967-07-14,58,Lubsko,M,"Akademia Wychowania Fizycznego, Wydział Sportowy, Nauczycielski - magister (1991)",wyższe,magister,0,parlamentarzysta,8,Zielona Góra,lubuskie,14761,"senator VIII, IX i X kadencji",4,True,,,
70,Przemysław Drabek,PiS,1979-10-02,46,Bielsko-Biała,M,"Wyższa Szkoła Ekonomiczno Humanistyczna, Zarządzanie i Marketing - licencjat (2002) Wyższa Szkoła Ekonomiczno Humanistyczna, Zarządzanie - magister (2021)",wyższe,magister,0,menedżer,27,Bielsko-Biała,śląskie,17886,poseł na Sejm RP IX kadencji,2,True,,,
