id,imieNazwisko,klub,dataUr,wiek,miejsceUr,plec,ukonczonaSzkola,wyksztalcenie,najwyzszyStopienNaukowy,liczbaStudiowPodyplomowych,zawod,nrOkreguWyborczego,okregWyborczy,wojewodztwoOkreguWyborczego,liczbaGlosow,stazParlamentarny,ktoraKadencja,czyAktywny,powodNieaktywnosci,nieaktywnoscKomentarz,nieaktywnoscKategoria
373,Krystyna Szumilas,KO,1956-06-28,69,Knurów,K,"Uniwersytet Śląski, Wydział Matematyki, Fizyki i Chemii, Matematyka - magister (1983) Uniwersytet Śląski, Informatyka (1988) - studia podyplomowe Szkoła Zarządzania Uniwersytetu Śląskiego, Zarządzanie Zasobami Ludzkimi (1999) - studia podyplomowe Uniwersytet Śląski, Samorząd Terytorialny (1999) - studia podyplomowe",wyższe,magister,3,nauczyciel,29,Katowice,śląskie,50871,"poseł na Sejm RP IV, V, VI, VII, VIII i IX kadencji",7,True,,,
374,Stanisław Szwed,PiS,1955-04-12,70,Bielsko-Biała,M,"Krakowska Szkoła Wyższa im. A. F. Modrzewskiego, Wydział Prawa i Administracji, Administracja Publiczna - magister (2006)",wyższe,magister,0,parlamentarzysta,27,Bielsko-Biała,śląskie,57055,"poseł na Sejm RP III, V, VI, VII, VIII i IX kadencji",7,True,,,
375,Ewa Szymanowska,Polska2050,1978-05-30,47,Łódź,K,"Uniwersytet Łódzki, Wydział Zarządzania, Marketing i Zarządzanie - magister (2002) Uniwersytet Łódzki, Wydział Ekonomiczno-Socjologiczny, Public Relations (2010)",wyższe,magister,0,"menedżer marketingu, public relations",9,Łódź,łódzkie,26185,brak,1,True,,,
376,Tomasz Szymański,KO,1978-04-24,47,Grudziądz,M,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Prawa i Administracji, Administracja - magister (2003) Uniwersytet Gdański, Zarządzanie Zasobami Ludzkimi (2008) - studia podyplomowe",wyższe,magister,1,"parlamentarzysta, pracownik administracji samorządowej",5,Toruń,kujawsko-pomorskie,17825,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
377,Szymon Szynkowski vel Sęk,PiS,1982-11-24,43,Poznań,M,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa i Administracji, Stosunki Międzynarodowe - magister (2006)",wyższe,magister,0,wyższy urzędnik państwowy,39,Poznań,wielkopolskie,45167,poseł na Sejm RP VIII i IX kadencji,3,True,,,
378,Łukasz Ściebiorowski,KO,1980-03-13,45,Piekary Śląskie,M,"Uniwersytet Śląski, Wydział Nauk Społecznych, Politologia - magister (2005)",wyższe,magister,0,politolog,31,Katowice,śląskie,7116,brak,1,True,,,
379,Agnieszka Ścigaj,PiS,1975-12-22,50,Kraków,K,"Uniwersytet Śląski, Wydział Nauk Społecznych, Socjologia - magister (2001) Uniwersytet Ekonomiczny w Krakowie, Ekonomia Społeczna (2011) - studia podyplomowe",wyższe,magister,1,"doradca, pracownik socjalny, wykładowca",13,Kraków,małopolskie,6262,poseł na Sejm RP VIII i IX kadencji,3,True,,,
380,Andrzej Śliwka,PiS,1988-10-12,37,Pasłęk,M,"Uniwersytet Gdański, Podatki i Prawo Podatkowe (2015) - studia podyplomowe Okręgowa Izba Radców Prawnych w Warszawie, Aplikacja Radcowska (2018) Uniwersytet Gdański, Wydział Prawa i Administracji, Prawo - magister",wyższe,magister,1,radca prawny,34,Elbląg,warmińsko-mazurskie,32895,brak,1,True,,,
381,Paweł Śliz,Polska2050,1980-09-18,45,Kraków,M,"Uniwersytet Jagielloński w Krakowie, Wydział Prawa i Administracji, Prawo - magister (2005)",wyższe,magister,0,adwokat,12,Kraków,małopolskie,19630,brak,1,True,,,
382,Krzysztof Śmiszek,Lewica,1979-08-25,46,Stalowa Wola,M,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo i Administracja - magister (2003) Uniwersytet Warszawski, Prawo Europejskie (2006) - studia podyplomowe Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - doktor (2016)",wyższe,doktor,1,prawnik,3,Wrocław,dolnośląskie,34577,poseł na Sejm RP IX kadencji,2,False,Zrzeczenie,Wybrany na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
383,Jacek Świat,PiS,1955-12-16,70,Wrocław,M,"Uniwersytet Wrocławski, Wydział Filologiczny, Filologia Polska (1980)",wyższe,magister,0,"parlamentarzysta, specjalista ds. marketingu",3,Wrocław,dolnośląskie,13663,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
384,Apoloniusz Tajner,KO,1954-04-17,71,Cieszyn,M,"Akademia Wychowania Fizycznego w Krakowie, Wydział Nauczycielski, Wychowanie Fizyczne - magister (1980)",wyższe,magister,0,"nauczyciel, trener",27,Bielsko-Biała,śląskie,20748,brak,1,True,,,
385,Krzysztof Tchórzewski,PiS,1950-05-19,75,Rzążew,M,"Politechnika Warszawska, Wydział Elektryczny, Zabezpieczenia Elektroenergetyczne - magister inżynier (1974)",wyższe,magister inżynier,0,"ekonomista, inżynier elektryk",18,Siedlce,mazowieckie,25867,"poseł na Sejm RP I, III, V, VI, VII, VIII i IX kadencji",8,True,,,
386,Robert Telus,PiS,1969-04-18,56,Opoczno,M,"Politechnika Krakowska, Wydział Inżynierii Środowiska, Ochrona środowiska - inżynier (1996) Collegium Humanum, MBA (2021) - studia podyplomowe",wyższe,inżynier,1,urzędnik państwowy,10,Piotrków Trybunalski,łódzkie,49262,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
387,Ryszard Terlecki,PiS,1949-09-02,76,Kraków,M,"Uniwersytet Jagielloński w Krakowie, Wydział Filozoficzno-Historyczny, Historia - magister (1976) Uniwersytet Jagielloński w Krakowie, Wydział Filozoficzno-Historyczny, Nauki Humanistyczne - doktor (1980) Rada Naukowa Instytutu Historii, Nauki, Oświaty i Techniki PAN, Nauki Humanistyczne - doktor habilitowany (1992)",wyższe,doktor,0,historyk,14,Nowy Sącz,małopolskie,29882,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
388,Tadeusz Tomaszewski,Lewica,1959-02-21,66,Niechanowo,M,"Wyższa Szkoła Umiejętności Społecznych, Marketing i Zarządzanie, Ekonomia - licencjat (2000)",wyższe,licencjat,0,ekonomista,37,Konin,wielkopolskie,17181,"poseł na Sejm RP II, III, IV, V, VI, VII i IX kadencji",8,True,,,
389,Jacek Tomczak,PSL,1973-07-27,52,Poznań,M,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa, Prawo - magister (1998)",wyższe,magister,0,"notariusz, radca prawny",39,Poznań,wielkopolskie,24918,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
390,Wioleta Tomczak,Polska2050,1988-04-21,37,Gdynia,K,"Gdański Uniwersytet Medyczny, Wydział Nauk o Zdrowiu, Zdrowie Publiczne - magister (2012) Gdański Uniwersytet Medyczny, Nauki o Zdrowiu (2021) - studia doktoranckie",wyższe,magister,0,specjalista ds. zdrowia publicznego,26,Słupsk,pomorskie,13217,brak,1,True,,,
391,Cezary Tomczyk,KO,1984-08-25,41,Gryfice,M,"Uniwersytet Warszawski, Wydział Dziennikarstwa i Nauk Politycznych, Marketing Polityczny - magister (2008)",wyższe,magister,0,politolog,11,Sieradz,łódzkie,69211,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
392,Stanisław Tomczyszyn,PSL,1959-08-26,66,Żagań,M,"Wyższa Szkoła Pedagogiczna w Zielonej Górze, Wydział Humanistyczny, Historia - magister (1983) Wyższa Szkoła Pedagogiczna w Zielonej Górze, Historia (1987) - studia podyplomowe Politechnika Zielonogórska, Organizacja i Zarządzanie Szkołą (2001) - studia podyplomowe Wyższa Szkoła Bankowa w Poznaniu, Wydział Finansów i Bankowości, Administracja (2003) - studia podyplomowe",wyższe,magister,3,nauczyciel,8,Zielona Góra,lubuskie,10332,brak,1,True,,,
393,Małgorzata Tracz,KO,1985-12-08,40,Bolesławiec,K,"Uniwersytet Wrocławski, Wydział Filologiczny, Filologia Polska - magister (2009) Uniwersytet Wrocławski, Wydział Nauk Społecznych, Stosunki Międzynarodowe - licencjat (2009)",wyższe,magister,0,"filolog, specjalista ds. szkoleń",3,Wrocław,dolnośląskie,17693,poseł na Sejm RP IX kadencji,2,True,,,
394,Tomasz Trela,Lewica,1979-12-30,46,Łódź,M,"Politechnika Łódzka, Wydział Organizacji i Zarządzania, Zarządzanie Przedsiębiorstwem - magister (2003) Uniwersytet Łódzki, Podyplomowe Studium Finansów i Strategii Spółek (2008) - studia podyplomowe",wyższe,magister,1,ekonomista,9,Łódź,łódzkie,26273,poseł na Sejm RP IX kadencji,2,True,,,
395,Krzysztof Truskolaski,KO,1990-07-25,35,Białystok,M,"Uniwersytet w Białymstoku, Wydział Ekonomii i Zarządzania, Ekonomia - magister (2014) Uniwersytet w Białymstoku, Wydział Ekonomii i Zarządzania, Zarządzanie - magister (2019)",wyższe,magister,0,ekonomista,24,Białystok,podlaskie,57664,poseł na Sejm RP VIII i IX kadencji,3,True,,,
396,Krzysztof Tuduj,Konfederacja,1981-04-25,44,Warszawa,M,"Uniwersytet Wrocławski, Wydział Prawa, Administracji i Ekonomii, Prawo - magister (2010) Akademia Wojsk Lądowych we Wrocławiu, Zarządzanie Kryzysowe (2017) - studia podyplomowe Akademia Sztuki Wojennej w Warszawie, Służby Specjalne (2021) - studia podyplomowe",wyższe,magister,2,prawnik,3,Wrocław,dolnośląskie,25922,poseł na Sejm RP IX kadencji,2,True,,,
397,Sylwester Tułajew,PiS,1981-12-30,44,Lublin,M,"Politechnika Lubelska, Wydział Elektrotechniki i Informatyki, Elektrotechnika - magister inżynier (2005) Wyższa Szkoła Przedsiębiorczości i Administracji, Zarządzanie w Administracji i Samorządzie Terytorialnym (2006) - studia podyplomowe",wyższe,magister inżynier,1,informatyk,6,Lublin,lubelskie,10228,poseł na Sejm RP VIII i IX kadencji,3,True,,,
398,Witold Tumanowicz,Konfederacja,1986-11-04,39,Lublin,M,XLVII LO im. Stanisława Wyspiańskiego w Warszawie (2005),średnie ogólne,,0,zawodowy działacz organizacji polityczne,7,Chełm,lubelskie,14387,brak,1,True,,,
399,Donald Tusk,KO,1957-04-22,68,Gdańsk,M,"Uniwersytet Gdański, Wydział Humanistyczny, Historia - magister (1980)",wyższe,magister,0,nauczyciel,19,Warszawa,mazowieckie,538634,"poseł na Sejm RP I, IV, V, VI i VII kadencji, senator IV kadencji",6,True,,,
400,Stanisław Tyszka,Konfederacja,1979-04-11,46,Warszawa,M,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2004) Europejski Instytut Uniwersytecki we Florencji, Wydział Historii, Nauki Humanistyczne - doktor (2011)",wyższe,doktor,0,nauczyciel akademicki,26,Słupsk,pomorskie,19753,poseł na Sejm RP VIII i IX kadencji,3,False,Zrzeczenie,Wybrany na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
401,Katarzyna Ueberhan,Lewica,1975-08-26,50,Poznań,K,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Społecznych, Filozofia - Życie Publiczne - magister (2009)",wyższe,magister,0,filozof,39,Poznań,wielkopolskie,24485,poseł na Sejm RP IX kadencji,2,True,,,
402,Jarosław Urbaniak,KO,1966-08-07,59,Ostrów Wielkopolski,M,"Katolicki Uniwersytet Lubelski, Wydział Filozofii, Filozofia Teoretyczna - magister (1991) Uniwersytet Warszawski, Wydział Zarządzania, Zarządzanie - magister (1999)",wyższe,magister,0,menedżer,36,Kalisz,wielkopolskie,50724,"poseł na Sejm RP V, VI, VIII i IX kadencji",5,True,,,
403,Piotr Uruski,PiS,1976-08-11,49,Sanok,M,"Uniwersytet Jagielloński w Krakowie, Wydział Historyczny, Historia - magister (2001) Uniwersytet Rzeszowski, Nauki Humanistyczne - doktor (2007) Wyższa Szkoła Menedżerska w Warszawie, Executive Master of Business Administration (2018) - studia podyplomowe",wyższe,doktor,1,"historyk, nauczyciel akademicki",22,Krosno,podkarpackie,22703,poseł na Sejm RP VIII i IX kadencji,3,True,,,
404,Piotr Uściński,PiS,1977-05-20,48,Warszawa,M,"Politechnika Warszawska, Wydział Elektroniki i Technik Informacyjnych, Elektronika - Inżynieria Komputerowa - magister inżynier (2004) Szkoła Główna Handlowa w Warszawie, Nauki o Zarządzaniu (2006) - studia podyplomowe Akademia Leona Koźmińskiego, Psychologia Biznesu (2010) - studia podyplomowe Collegium Humanum, MBA (2021) - studia podyplomowe",wyższe,magister inżynier,3,"elektronik, menedżer, parlamentarzysta",20,Warszawa,mazowieckie,15006,poseł na Sejm RP VIII i IX kadencji,3,True,,,
405,Jarosław Wałęsa,KO,1976-09-13,49,Gdańsk,M,"Uniwersytet Świętego Krzyża, Worcester Massachusetts USA, Politologia - licencjat (2000) Uniwersytet Gdański, Politologia, Europeistyka i Przemiany Globalne - magister (2014)",wyższe,magister,0,politolog,25,Gdańsk,pomorskie,17408,"poseł na Sejm RP V, VI i IX kadencji",4,True,,,
406,Marcin Warchoł,PiS,1980-07-13,45,Nisko,M,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2004) Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - doktor (2009) Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - doktor habilitowany (2018)",wyższe,doktor,0,adwokat,23,Rzeszów,podkarpackie,26750,poseł na Sejm RP IX kadencji,2,True,,,
407,Robert Wardzała,KO,1975-10-12,50,Tarnów,M,"Wyższa Szkoła Zarządzania i Bankowości w Krakowie, Wydział Zarządzania i Informatyki, Zarządzanie Zasobami Ludzkimi - licencjat (2013) Collegium Humanum, Executive Master of Business Administration (MBA) (2023) - studia podyplomowe",wyższe,licencjat,1,menedżer,15,Tarnów,małopolskie,9265,poseł na Sejm RP VII kadencji,2,True,,,
408,Robert Warwas,PiS,1976-08-13,49,Jaworzno,M,"Uniwersytet Śląski, Wydział Nauk Społecznych, Politologia - magister (2002) Uniwersytet Śląski, Prawo Gospodarcze i Handlowe (2009) - studia podyplomowe",wyższe,magister,1,politolog,32,Katowice,śląskie,17403,poseł na Sejm RP VIII i IX kadencji,3,True,,,
409,Jan Warzecha,PiS,1959-04-21,66,Jodłowa,M,"Akademia Rolnicza w Krakowie, Wydział Ekonomiki Produkcji i Obrotu Rolnego - magister inżynier (1985)",wyższe,magister inżynier,0,pracownik samorządowy,23,Rzeszów,podkarpackie,14023,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
410,Małgorzata Wassermann,PiS,1978-03-16,47,Kraków,K,"Uniwersytet Jagielloński w Krakowie, Wydział Prawa i Administracji, Prawo - magister (2002)",wyższe,magister,0,adwokat,13,Kraków,małopolskie,125786,poseł na Sejm RP VIII i IX kadencji,3,True,,,
411,Michał Wawer,Konfederacja,1989-04-01,36,Warszawa,M,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2013)",wyższe,magister,0,radca prawny,33,Kielce,świętokrzyskie,18300,brak,1,True,,,
412,Maciej Wąsik,PiS,1969-10-16,56,Warszawa,M,"Uniwersytet Warszawski, Wydział Historyczny, Archeologia - magister (1994)",wyższe,magister,0,archeolog,16,Płock,mazowieckie,24033,poseł na Sejm RP VIII i IX kadencji,3,False,,Utrata prawa wybieralności,Utrata prawa wybieralności
413,Marta Wcisło,KO,1969-02-26,56,Kraśnik,K,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Artystyczny, Artystyczna - magister (1994) Lubelska Szkoła Wyższa, Zarządzanie Placówkami Oświatowymi (2012) - studia podyplomowe Lubelska Szkoła Wyższa, Wydział Pedagogiczny, Pedagogika (2012) - studia podyplomowe Lubelska Szkoła Wyższa, Zarządzanie Zasobami Ludzkimi (2019) - studia podyplomowe Politechnika Lubelska, Wydział Zarządzania / Katedra Ekonomii i Zarządzania, Master of Business Administration MBA (2022) - studia podyplomowe",wyższe,magister,4,"menedżer, przedsiębiorca prywatny",6,Lublin,lubelskie,68449,poseł na Sejm RP IX kadencji,2,False,Zrzeczenie,Wybrana na posła do Parlamentu Europejskiego,Mandat w Parlamencie Europejskim
414,Rafał Weber,PiS,1981-09-01,44,Tarnobrzeg,M,"Wyższa Szkoła Prawa i Administracji, Wydział Prawa i Administracji, Prawo i Administracja - magister (2007)",wyższe,magister,0,prawnik,23,Rzeszów,podkarpackie,31349,poseł na Sejm RP VIII i IX kadencji,3,True,,,
415,Marek Wesoły,PiS,1972-05-03,53,Ruda Śląska,M,"Uniwersytet Śląski, Wydział Teologiczny, Teologia - licencjat (2003)",wyższe,licencjat,0,"nauczyciel, przedsiębiorca prywatny",31,Katowice,śląskie,9915,poseł na Sejm RP IX kadencji,2,True,,,
416,Joanna Wicha,Lewica,1966-10-09,59,Biała Podlaska,K,"Liceum Medyczne, Pielęgniarstwo (1986) Uniwersytet Warszawski, Instytut Stosowanych Nauk Społecznych, Socjologia - magister (2003)",wyższe,magister,0,"pielęgniarka, socjolog",20,Warszawa,mazowieckie,15324,brak,1,True,,,
417,Patryk Wicher,PiS,1986-03-09,39,Nowy Sącz,M,"Wyższa Szkoła Biznesu NLU - Nowy Sącz, Wydział Studiów Politycznych, Politologia - licencjat (2008) Wyższa Szkoła Biznesu NLU - Nowy Sącz, Wydział Studiów Politycznych, Politologia - magister (2010) Państwowa Wyższa Szkoła Zawodowa w Nowym Sączu, Studia Przygotowania Pedagogicznego (2010) - studia podyplomowe Wyższa Szkoła Przedsiębiorczości i Marketingu w Chrzanowie, Menadżer ekonomii społecznej (2011) - studia podyplomowe Wyższa Szkoła Biznesu NLU - Nowy Sącz, Wydział Przedsiębiorczości i Zarządzania, Zarządzanie i Marketing - magister (2012) Wyższa szkoła Biznesu i Przedsiębiorczości w Ostrowcu Świętokrzyskim, Zarządzanie instytucją oświatową w zreformowanym systemie oświaty (2012) - studia podyplomowe Uniwersytet Jagielloński w Krakowie, Mediacja i Inne Metody Alternatywnego Rozwiązywania (2012) - studia podyplomowe Uniwersytet Ekonomiczny w Krakowie, MBA in Public Management (2018) - studia podyplomowe Uniwersytet Mikołaja Kopernika w Toruniu, Audyt Wewnętrzny Sektora Finansów Publicznych (2019) - studia podyplomowe",wyższe,magister,6,"menedżer, politolog",14,Nowy Sącz,małopolskie,18604,poseł na Sejm RP IX kadencji,2,True,,,
418,Dariusz Wieczorek,Lewica,1965-05-23,60,Szczecin,M,"Politechnika Szczecińska, Wydział Elektryczny, Elektroenergetyka - magister inżynier (1989) Uniwersytet Ekonomiczny w Poznaniu, Organizacja i Zarządzanie Gospodarką Turystyczną (1994) - studia podyplomowe Uniwersytet Szczeciński, Prawo Administracyjne i Samorządowe (2001) - studia podyplomowe",wyższe,magister inżynier,2,inżynier elektryk,41,Szczecin,zachodniopomorskie,15378,poseł na Sejm RP IX kadencji,2,True,,,
419,Jarosław Wiesław Wieczorek,PiS,1981-01-27,44,Gliwice,M,"Uniwersytet Śląski, Wydział Nauk Społecznych, Politologia - magister (2006)",wyższe,magister,0,politolog,29,Katowice,śląskie,23451,brak,1,True,,,
420,Monika Wielichowska,KO,1973-10-04,52,Nowa Ruda,K,"Akademia Ekonomiczna we Wrocławiu, Wydział Gospodarki Regionalnej i Turystyki, Marketing - magister (1997) Uniwersytet Wrocławski, Dziennikarstwo i Zarządzanie Informacją Public Relations (2005) - studia podyplomowe Akademia Ekonomiczna we Wrocławiu, Menedżerskie Studium Podyplomowe, Obsługa i wykorzystanie funduszy unijnych wspierających polską samorządność i przedsiębiorczość (2007) - studia podyplomowe Szkoła Główna Handlowa w Warszawie, Zarządzanie i Finansowanie Infrastruktury Drogowej (2012) - studia podyplomowe",wyższe,magister,3,"dziennikarz, ekonomista, pracownik samorządowy",2,Wałbrzych,dolnośląskie,52182,"poseł na Sejm RP VI, VII, VIII i IX kadencji",5,True,,,
421,Ryszard Wilk,Konfederacja,1987-03-24,38,Krynica-Zdrój,M,"Uniwersytet Rolniczy w Krakowie, Wydział Geodezji Kartografii, Geodezja i Kartografia - inżynier (2015)",wyższe,inżynier,0,przedsiębiorca prywatny,14,Nowy Sącz,małopolskie,19374,brak,1,True,,,
422,Teresa Wilk,PiS,1952-10-29,73,Elbląg,K,"Policealne Studium Zawodowe, Wydział Ekonomiczny, Administracja Państwowa - technik (1984)",średnie policealne/pomaturalne,,0,ekonomista,34,Elbląg,warmińsko-mazurskie,9280,brak,1,True,,,
423,Przemysław Wipler,Konfederacja,1978-07-15,47,Piekary Śląskie,M,"Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (2002)",wyższe,magister,0,"prawnik, przedsiębiorca prywatny",5,Toruń,kujawsko-pomorskie,13457,poseł na Sejm RP VII kadencji,2,True,,,
424,Aleksandra Karolina Uznańska-Wiśniewska,KO,1994-05-27,31,Łódź,K,"United World College of the Adriatic (UWC Adriatic), International Baccalaureate (IB) (2013) London School of Economics and Political Science (LSE), LSE Government Department, Bachelor of Science in Politics and Philosophy - licencjat (2016) University of Oxford, Blavatnik School of Government, Master of Public Policy - magister (2018)",wyższe,magister,0,politolog,9,Łódź,łódzkie,25436,brak,1,True,,,
425,Adrian Witczak,KO,1991-03-20,34,Tomaszów Mazowiecki,M,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Wydział Leśny, Leśnictwo - magister inżynier (2015) Uniwersytet Łódzki, Wydział Biologii i Ochrony Środowiska, Biologia - magister (2015)",wyższe,magister inżynier,0,nauczyciel,10,Piotrków Trybunalski,łódzkie,16287,brak,1,True,,,
426,Mariusz Witczak,KO,1971-04-14,54,Koźminek,M,"Nauczycielskie Kolegium Nauki Języków Obcych, Język Angielski (1996) Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Społecznych, Politologia - magister (1997) Uniwersytet im. Adama Mickiewicza w Poznaniu, Nauki Humanistyczne - doktor (2005)",wyższe,doktor,0,"politolog, polityk",36,Kalisz,wielkopolskie,12754,"poseł na Sejm RP VII, VIII i IX kadencji, senator VI i VII kadencji",4,True,,,
427,Elżbieta Witek,PiS,1957-12-17,68,Jawor,K,"Uniwersytet Wrocławski, Wydział Filozoficzno-Historyczny, Historia - magister (1980) Uniwersytet Wrocławski, Instytut Historii, Wiedza o Unii Europejskiej (1996) - studia podyplomowe",wyższe,magister,1,nauczyciel,1,Legnica,dolnośląskie,89172,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
428,Przemysław Witek,KO,1978-03-16,47,Lubliniec,M,"Uniwersytet Wrocławski, Wydział Nauk Przyrodniczych - magister (2006) Najwyższa Izba Kontroli, Aplikacja Kontrolerska I Stopnia (2009) Polska Akademia Nauk, Audyt Wewnętrzny i Kontrola Wewnętrzna (2011) - studia podyplomowe Najwyższa Izba Kontroli, Aplikacja Kontrolerska II Stopnia (2012) Biuro Banku Światowego w Warszawie, Zarządzanie Finansowe i Procedury Zamówień Publicznych w Projektach Współfinansowanych ze Środków BS (2013) - studia podyplomowe Akademia WSB, MBA w Ochronie Zdrowia (2024) - studia podyplomowe",wyższe,magister,3,urzędnik państwowy,28,Częstochowa,śląskie,5121,brak,1,True,,,
429,Kamil Wnuk,Polska2050,1984-05-22,41,Sosnowiec,M,Liceum Ogólnokształcące w Sosnowcu (2003),średnie ogólne,,0,politolog,32,Katowice,śląskie,16310,brak,1,True,,,
430,Anna Wojciechowska,KO,1960-02-29,65,Suwałki,K,"Wyższa Szkoła Finansów i Zarządzania w Białymstoku, Wydział Finansów i Informatyki, Finanse i Bankowość - licencjat (2003) Wyższa Szkoła Finansów i Zarządzania w Białymstoku Filia w Ełku, Doradztwo Zawodowe (2010) - studia podyplomowe",wyższe,licencjat,1,"doradca finansowy, pracownik administracji samorządowej",35,Olsztyn,warmińsko-mazurskie,18828,poseł na Sejm RP IX kadencji,2,True,,,
431,Agnieszka Wojciechowska van Heukelom,PiS,1964-08-30,61,Łódź,K,"Uniwersytet Łódzki, Wydział Filologiczny, Filologia Polska (1989)","('średnie ogólne',)",,0,filolog,9,Łódź,łódzkie,10557,brak,1,True,,,
432,Agata Wojtyszek,PiS,1967-10-23,58,Starachowice,K,"Wyższa Szkoła Pedagogiczna w Kielcach, Wydział Matematyczno-Przyrodniczy, Matematyka - magister (1990) Politechnika Świętokrzyska w Kielcach, Informatyka (1999) - studia podyplomowe Centrum Doskonalenia Kadr Oświatowych Starachowice, Organizacja i Zarządzanie Oświatą (2003) - studia podyplomowe Centrum Doskonalenia Kadr Oświatowych Starachowice, Andragogika Przygotowująca do Pracy z Dorosłymi (2012) - studia podyplomowe Centrum Doskonalenia Kadr Oświatowych Starachowice, Oligofrenopedagogika (2012) - studia podyplomowe",wyższe,magister,4,nauczyciel,33,Kielce,świętokrzyskie,15405,poseł na Sejm RP IX kadencji,2,True,,,
433,Bogusław Wołoszański,KO,1950-03-22,75,Piotrków Trybunalski,M,"Uniwersytet Warszawski, Wydział Prawa i Administracji - magister (1971) Studium Dziennikarstwa, Dziennikarstwo (1973) - studia podyplomowe",wyższe,magister,1,dziennikarz,10,Piotrków Trybunalski,łódzkie,35202,brak,1,True,,,
434,Michał Woś,PiS,1991-02-08,34,Racibórz,M,"Uniwersytet Jagielloński w Krakowie, Wydział Prawa i Administracji, Prawo - magister (2016) Szkoła Główna Handlowa w Warszawie, Studia Menadżerskie (2018) - studia podyplomowe",wyższe,magister,1,prawnik,30,Bielsko-Biała,śląskie,39902,poseł na Sejm RP IX kadencji,2,True,,,
435,Grzegorz Woźniak,PiS,1968-12-18,57,Garwolin,M,"Uniwersytet Warszawski, Wydział Geografii i Studiów Regionalnych, Instytut Krajów Rozwijających się - Ameryka Łacińska - magister (1992) Uniwersytet Warszawski, Centrum Studiów Latynoamerykańskich CESLA, Wiedza o Ameryce Łacińskiej (1994) - studia podyplomowe",wyższe,magister,1,menedżer,18,Siedlce,mazowieckie,9088,"poseł na Sejm RP VII, VIII i IX kadencji",4,True,,,
436,Tadeusz Woźniak,PiS,1960-01-15,65,Kutno,M,"Wyższa Szkoła Pedagogiczna w Olsztynie, Wydział Humanistyczny, Historia - magister (1985) Uniwersytet Warszawski, Samorząd Terytorialny i Rozwój Lokalny (1992) - studia podyplomowe Wyższa Szkoła Administracji Publicznej w Łodzi, Administracja Publiczna (2000) - studia podyplomowe",wyższe,magister,2,"nauczyciel, parlamentarzysta",11,Sieradz,łódzkie,19691,"poseł na Sejm RP V, VI, VII, VIII i IX kadencji",6,True,,,
437,Michał Wójcik,PiS,1971-04-17,54,Kraków,M,"Uniwersytet Śląski, Wydział Prawa, Prawo - magister (1994) Wyższa Szkoła Bankowości i Finansów w Katowicach, Rozwój podmiotów gospodarczych (1998) - studia podyplomowe Uniwersytet Śląski, Wydział Nauk Społecznych, Nauki Społeczne, Nauki o Polityce - doktor (2017)",wyższe,doktor,1,prawnik,31,Katowice,śląskie,8270,"poseł na Sejm RP V, VIII i IX kadencji",4,True,,,
438,Maciej Wróbel,KO,1983-10-16,42,Giżycko,M,"Wyższa Szkoła Pedagogiczna w Warszawie, Wydział Nauk Społecznych, Pedagogika - magister (2009)",wyższe,magister,0,dziennikarz,35,Olsztyn,warmińsko-mazurskie,9837,brak,1,True,,,
439,Bartłomiej Wróblewski,PiS,1975-03-13,50,Poznań,M,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Prawa i Administracji, Prawo - magister (2000) Reński Uniwersytet Fryderyka Wilhelma w Bonn, Prawo Państwowe - magister (2003) Uniwersytet im. Adama Mickiewicza w Poznaniu, Nauki Prawne - doktor (2009)",wyższe,doktor,0,nauczyciel akademicki,39,Poznań,wielkopolskie,28860,poseł na Sejm RP VIII i IX kadencji,3,True,,,
